Header|Theme|Description
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|Survey on learning and educational activities of the Austrian resident population aged 25 to 64 years within a period of twelve months;There are a total of 5,620 people who are very calculated 4.8 million inhabitants: represent Austria on the inside.
AEST regz - coordinated employment statistics and register counting|Workplaces, workplates, employees, education, census, demographic characteristics, acquisition characteristics, families, buildings, building and housing counts, households, regional features, companies, census, apartments, census|The coordinated acquisition statistics and register count receives data about: persons and employment statistics from 2008, education and commuting from 2009, families and households from 2011, Occupational facilities from 2011, building and apartment count 2011
AKE module 2016 - Young people on the 2016 labor market|Labor market, search for work, training, education of parents, youth, youth unemployment, young people, internship|The ad hoc module 2016 provides extensive information on the situation of young people on the job marketto disposal.The focus is on the educational background, the work experience during theTraining and search for young people (15 to 34 years). n = 8250
AKE module 2017 - Independent employment of 2017|Working conditions, work situation, independence|The ad hoc module 2017 provides extensive information about independent people, for comparison some data was also collected by dependent ones.The focus is on the working conditions of self -employed.n = 17,663
AKE module 2018 - Compatibility of work and family 2018|Working hours, work, care obligations, family, flexibility of working hours, childcare, care|The 2018 module compatibility of work and family includes data on the topics- Supervision obligations for children under the age of 15 or relatives in need of care aged 15 and over as well as their impact on gainful employment- Flexibility working time- Interruption of employment to look after children or relativesn = 22,604
AKE module 2019 - Working organization and working time design 2019|Work, work organization, place of work, working hours|2019 sample survey carried out in Austrian private households on the subject of work organization and working hours design.n = 17669
AKE module 2020 - work accidents and work -related health problems 2020|Work and health, workload, work accident, stress factors, professional health complaints, health problems|Survey on stress factors at the workplace,Number and kind of professional health problems and complaints as well as the number of accidents at work (without accidents)n = 6.901
AMDC -LBR - AMDC: steering authorizations|Driver's license, L17, steering permissions, trucks, mobility, car, traffic|The microdata set contains all issued driving licenses or newly acquired authorizations for steering various vehicle classes of a reporting year in Austria.The statistics are based on the driver's license register of the Federal Rechen Center (BRZ) and contains approx. 2 million steering authorizations (since 2006).
Athis2019 - Austrian health survey 2019|Alcohol consumption, chronic diseases, nutrition, health, health problems, health prevention, health care, state of health, smoking, pain, overweight|The 2019 health survey forms an indispensable basis for health reporting. It provides representative statements about the state of health and health behavior for the Austrian population in private households aged 15 and over. The results of the study provide information about the affairs of the population, the spread of risky health behavior, individual health awareness as well as the use of the pension offers and medical care services. In addition, the survey provides information on health and health well -being of children and adolescents under the age of 18.Statistics Austria led on behalf of the Federal Ministry of Social Affairs. Care and consumer protection and the Federal Health Agency from October 2018 to September 2019 through an Austrian survey based on the European health survey on the subject of health. A total of 15,461 randomly selected people were asked about their health, health behavior and the use of health services. The results are representative of the Austrian population in private households aged 15 and over (including 7.4 million people).
AUBG - Statistics on recognitions and evaluations of foreign educational qualifications and professional qualifications|Recognition, training, evaluation, education, educational qualifications|Statistics of the positively concluded applications for recognition or evaluation (approx. 7,000 per year).Number of positively concluded cases according to the level of training, residential state, training field (ISCED-F 2013), nationality of the applicant, state of training, ordering compensation measures, recognition or evaluation.
AVZ - AMDC: General cattle counting (sample)|Sheep stock, pork, goat stock|For around 80 years, the general cattle count has been raising the stock of at least pigs, sheep and goats on one day in December including the number of non -examined pork laugh in the year expired before this date.
Educational rulers and statistics of the level of education|Education, educational qualifications, educational level, universities, schools|Educational level (highest completed training) of the people living in Austria aged 15 and older.
CIS 2018 - Innovationserhebung 2018|CIS, business process innovation, innovation, product innovation, process innovation|Rewage sample survey In around 2,800 companies of ten employees in the ÖNACE 2008 branches B, C, D, E, 46, H, J, K, 71, 72, 73
ERV - register -based acquisition processes|Labor market status|No description found.
