Header|Theme|Variables
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|DEG_URB - DEGREE OF URBANISATION OF THE AREA THE HOUSEHOLD LIVES IN
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|HHNBPERS_tot - TOTAL NUMBER OF PERSONS LIVING IN THE HOUSEHOLD
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|HHNBPERS_0_13 - PERSONS 0-13 YEARS OLD LIVING IN THE HOUSEHOLD
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|HHNBPERS_14_24 - PERSONS 14-24 YEARS OLD LIVING IN THE HOUSEHOLD
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|HHNBPERS_25plus - PERSONS 25 YEARS AND OLDER LIVING IN THE HOUSEHOLD
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|HHTYPE - HOUSEHOLD TYPE
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|HHINCOME - NET MONTHLY EQUIVALISED INCOME OF THE HOUSEHOLD
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|SEX - MALE/FEMALE
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|AGE - ALTER
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|Citizen - Citizenship
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|Birthplace - country of birth
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|RESTIME - YEARS OF RESIDENCE IN THIS COUNTRY
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|Marstadefacto - The fact Marital Status
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|Education 5 - Highest Successful School Education (National Structure)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|HATLEVEL - EDUCATIONAL ATTAINMENT LEVEL
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|HATFIELD - FIELD OF THE HIGHEST LEVEL OF EDUCATION OR TRAINING SUCCESSFULLY COMPLETED
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|WHAT YEAR - YEAR WHEN HIGHEST LEVEL OF EDUCATION OR TRAINING WAS SUCCESSFULLY COMPLETED
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|HATVOC - ORIENTATION OF THE HIGHEST LEVEL OF EDUCATION OR TRAINING SUCCESSFULLY COMPLETED
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|BILDBRBR - broken training (national structure)
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|DROPEDUC - FORMAL EDUCATION OR TRAINING ABANDONED
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|DROPEDUCLEVEL - LEVEL OF THE FORMAL EDUCATION OR TRAINING ABANDONED
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|DROPEDUCVOC - ORIENTATION OF THE FORMAL EDUCATION OR TRAINING ABANDONED
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|MAINSTAT - CURRENT MAIN LABOUR STATUS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|EMP12M - EMPLOYMENT DURING THE LAST 12 MONTHS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|JOBSTAT - PROFESSIONAL STATUS
AES 2016/17 - survey on adult education 2016/17|Training, adult education, courses, lifelong learning, further education|JOBISCO - OCCUPATION
