Kachi Plain,AfDurrn
Kachi Plain,AfGhurd
Sogdiana,AfGrBct
Sogdiana,AfHepht
Sogdiana,AfKidar
Sogdiana,AfKushn
Sogdiana,AfTochr
Middle Yellow River Valley,CnEHan*
Middle Yellow River Valley,CnErJin
Middle Yellow River Valley,CnErlig
Middle Yellow River Valley,CnErlit
Southern China Hills,CnHChin
Southern China Hills,CnHQngL
Middle Yellow River Valley,CnJinSA
Middle Yellow River Valley,CnLngsh
Middle Yellow River Valley,CnLrJin
Middle Yellow River Valley,CnMing*
Middle Yellow River Valley,CnNSong
Middle Yellow River Valley,CnNWei*
Middle Yellow River Valley,CnPeili
Middle Yellow River Valley,CnQingE
Middle Yellow River Valley,CnQingL
Middle Yellow River Valley,CnShang
Middle Yellow River Valley,CnSui**
Middle Yellow River Valley,CnTangE
Middle Yellow River Valley,CnTangL
Middle Yellow River Valley,CnWeiWS
Middle Yellow River Valley,CnWHan*
Middle Yellow River Valley,CnWZhou
Middle Yellow River Valley,CnYngsh
Middle Yellow River Valley,CnYuan*
North Colombia,CoNahua
North Colombia,CoTairo
Lowland Andes,EcJivaE
Lowland Andes,EcJivaL
Upper Egypt,EgAyyub
Upper Egypt,EgBadar
Upper Egypt,EgDyn1*
Upper Egypt,EgDyn2*
Upper Egypt,EgIntOc
Upper Egypt,EgMamBh
Upper Egypt,EgMamBu
Upper Egypt,EgMamCP
Upper Egypt,EgMidKg
Upper Egypt,EgNaqa1
Upper Egypt,EgNaqa2
Upper Egypt,EgNaqa3
Upper Egypt,EgNKRam
Upper Egypt,EgNKThu
Upper Egypt,EgOldK1
Upper Egypt,EgOldK2
Upper Egypt,EgPtol1
Upper Egypt,EgPtol2
Upper Egypt,EgRegns
Upper Egypt,EgSaite
Upper Egypt,EgThebH
Upper Egypt,EgThebL
Upper Egypt,EgTulIk
Cuzco,EsHabsb
Yemeni Coastal Plain,EtAksm1
Chuuk Islands,FmTrukE
Chuuk Islands,FmTrukL
Paris Basin,FrAtlBA
Paris Basin,FrBeakr
Paris Basin,FrBurbE
Paris Basin,FrBurbL
Paris Basin,FrCaptE
Paris Basin,FrCaptL
Paris Basin,FrCarlE
Paris Basin,FrCarlL
Paris Basin,FrHallA
Paris Basin,FrHallB
Paris Basin,FrHallC
Paris Basin,FrHallD
Paris Basin,FrMervE
Paris Basin,FrMervL
Paris Basin,FrMervM
Paris Basin,FrTeneA
Paris Basin,FrTeneB
Paris Basin,FrTeneC
Paris Basin,FrValoE
Paris Basin,FrValoL
Deccan,GbEmpr2
Ghanaian Coast,GhAshnE
Ghanaian Coast,GhAshnL
Crete,GrCrArc
Crete,GrCrCls
Crete,GrCrEmr
Crete,GrCrFPa
Crete,GrCrGeo
Crete,GrCrHel
Crete,GrCrMPa
Crete,GrCrNeo
Crete,GrCrNPa
Crete,GrCrOPa
Crete,GrCrPPa
Crete,GrCrPre
Big Island Hawaii,Hawaii1
Big Island Hawaii,Hawaii2
Big Island Hawaii,Hawaii3
Kapuasi Basin,IdBrokE
Kapuasi Basin,IdBrokL
Central Java,IdCJBun
Central Java,IdKalin
Central Java,IdKedir
Central Java,IdMajap
Central Java,IdMatrm
Central Java,IdMedng
Galilee,IlCanaa
Galilee,IlJudea
Galilee,IlYisrl
Middle Ganga,InAyodE
Deccan,InChaBd
Deccan,InChaKl
Deccan,InDecIA
Deccan,InDecKg
Deccan,InDecNL
Kachi Plain,InDelh*
Middle Ganga,InGangC
Middle Ganga,InGangN
Garo Hills,InGaroE
Garo Hills,InGaroL
Middle Ganga,InGhdvl
Middle Ganga,InGupta
Middle Ganga,InGurjr
Deccan,InHoysa
Deccan,InKadam
Deccan,InKampi
Middle Ganga,InKanau
Middle Ganga,InMagad
Middle Ganga,InMahaJ
Middle Ganga,InMaury
Kachi Plain,InMugl*
Deccan,InRasht
Deccan,InSataL
Middle Ganga,InSunga
Deccan,InVakat
Deccan,InVijay
Southern Mesopotamia,IqAbbs1
Southern Mesopotamia,IqAbbs2
Southern Mesopotamia,IqAkkad
Southern Mesopotamia,IqBabAm
Southern Mesopotamia,IqBabKs
Southern Mesopotamia,IqBazi*
Southern Mesopotamia,IqDynE*
Southern Mesopotamia,IqEDyn*
Southern Mesopotamia,IqIsin2
Southern Mesopotamia,IqIsinL
Southern Mesopotamia,IqNAssr
Southern Mesopotamia,IqNeoBb
Southern Mesopotamia,IqSoNeo
Southern Mesopotamia,IqUbaid
Southern Mesopotamia,IqUrIII
Southern Mesopotamia,IqUruk*
Susiana,IrAchae
Susiana,IrAkKoy
Susiana,IrArcha
Susiana,IrAwanE
Susiana,IrBuyid
Susiana,IrElmCP
Susiana,IrElym2
Susiana,IrForma
Susiana,IrIlkhn
Susiana,IrKhzE*
Susiana,IrKhzEM
Susiana,IrKhzL*
Susiana,IrKhzM*
Susiana,IrMElm1
Susiana,IrMElm2
Susiana,IrMElm3
Susiana,IrNElm1
Susiana,IrNElm2
Susiana,IrNElm3
Susiana,IrPart1
Southern Mesopotamia,IrPart2
Susiana,IrPrCer
Susiana,IrQajar
Susiana,IrSafvd
Susiana,IrSasn1
Susiana,IrSasn2
Susiana,IrSeleu
Susiana,IrSeljq
Susiana,IrShima
Susiana,IrSukkE
Susiana,IrSukkL
Susiana,IrSusa1
Susiana,IrSusa2
Susiana,IrSusa3
Iceland,IsCommw
Latium,ItLatBA
Latium,ItLatCA
Latium,ItLatIA
Latium,ItOstrg
Latium,ItPapEM
Latium,ItPapHM
Latium,ItPapM1
Latium,ItPapM2
Latium,ItPapRn
Latium,ItRav**
Latium,ItRomER
Latium,ItRomLR
Latium,ItRomMR
Latium,ItRomPr
Latium,ItRomRg
Latium,ItRomWe
Latium,ItStPet
Crete,ItVenR3
Crete,ItVenR4
Kansai,JpAshik
Kansai,JpAsuka
Kansai,JpAzMom
Kansai,JpHeian
Kansai,JpJomo1
Kansai,JpJomo2
Kansai,JpJomo3
Kansai,JpJomo4
Kansai,JpJomo5
Kansai,JpJomo6
Kansai,JpKamak
Kansai,JpKofun
Kansai,JpNara*
Kansai,JpSengk
Kansai,JpTokgw
Kansai,JpYayoi
Sogdiana,KgKarKh
Sogdiana,KgWTurk
Cambodian Basin,KhAngkC
Cambodian Basin,KhAngkE
Cambodian Basin,KhAngkL
Cambodian Basin,KhCambd
Cambodian Basin,KhChenl
Cambodian Basin,KhFunaE
Cambodian Basin,KhFunaL
Cambodian Basin,KhMekBA
Cambodian Basin,KhMekIA
Sogdiana,KzAndro
Galilee,LbAcPho
Niger Inland Delta,MaSaadi
Niger Inland Delta,MlBaman
Niger Inland Delta,MlJeJe1
Niger Inland Delta,MlJeJe2
Niger Inland Delta,MlJeJe3
